brand,instagram_link,followers,year,variant,variant_link,concentration,size,price,price_per_ml,top_notes1,top_notes2,top_notes3,top_notes4,top_notes5,top_notes6,mid_notes1,mid_notes2,mid_notes3,mid_notes4,mid_notes5,mid_notes6,mid_notes7,base_notes1,base_notes2,base_notes3,base_notes4,base_notes5,base_notes6,base_notes7
Alchemist,https://www.instagram.com/alchemist.fragrance/,17800,2022,Powder Room,https://shopee.co.id/alchemist.fragrance/17137354148,EDP,50,"199,000.00","3,980.00",Fresh Watery Accord,Rose,Pink Pepper,,,,Violet,Orange Blossom,Peony,,,,,Musk,Marine,Sandalwood,,,,
Alien Objects,https://www.instagram.com/alienobjects/,15700,2019,XOXO,https://shopee.co.id/alienobjects/14283008217,EDP,50,"750,000.00","15,000.00",Dew,Strawberry,Lotus,Tulip,Musk,Oakmoss,Orange Blossom,,,,,,,,,,,,,
ALT Perfumery,https://www.instagram.com/alt.perfumery/,6528,2021,Moroccan Sunset,https://shopee.co.id/altperfumery/12639590547,EDP,50,"229,000.00","4,580.00",Neroli,Bergamot,Red Fruits,,,,Orange Blossom,Jasmine,Resin,Cinnamon,,,,Vanilla,Caramel,Musk,Cedarwood,,,
Aromes,https://www.instagram.com/aromes.id/,15700,2022,Crazy Sexy,https://shopee.co.id/aromes.id/19521086160,EDP,50,"299,000.00","5,980.00",Raspberry,Lemon Peel,,,,,Almond,Blackcurrant,Rose,Orange Blossom,,,,Vanilla,Patchouli,Cashmeran,Musk,,,
Ataraksia,https://www.instagram.com/ataraksia.id/,8019,2021,Societeit Harmonie,https://shopee.co.id/ataraksia_id/7185449983,EDP,55,"337,000.00","6,127.27",Chocolate,Raspberry,,,,,Oud,Cinnamon,,,,,,Vanilla,Musk,,,,,
avantglossy,https://www.instagram.com/avantglossy/,1148,2021,Cloud County,https://shopee.co.id/avantglossy/20009705276,EDP,30,"115,000.00","3,833.33",Peony,May Rose,,,,,Pink Pepper,,,,,,,White Musk,Vanilla,,,,,
Avicenna,https://www.instagram.com/avicennaperfume.id/,781,2022,Miracle,https://shopee.co.id/cnfperfumery/15750856518,EDP,100,"229,250.00","2,292.50",Red Fruits,Orange,Pepper,,,,Jasmine,Rose,Violet,,,,,Vanilla,Powdery,Musk,Caramel,,,
Azwary Perfume,https://www.instagram.com/azwaryperfume/,432,2023,Magical Instinct,https://azwaryperfume.sirclo.me/id/product/magical-instinct,EDP,50,"250,000.00","5,000.00",Lemon,Passion Fruit,Pomelo,,,,Violet,Orchid,Jasmine,,,,,Vanilla,Amber,Patchouli,,,,
Bali Surfer's Perfume,https://www.instagram.com/balisurfers.perfume/,5463,2021,Blue Point,https://shopee.co.id/balisurfersperfume/9962169595,EDP,100,"199,999.00","1,999.99",Citrus,Fruit,Oceanic,,,,Flowery,Spicy,Marine,,,,,Musk,Woody,,,,,
Black Friday,https://www.instagram.com/theblackfriday.id/,20700,2018,Smells Like Friday 02,https://shopee.co.id/black_friday_official_shop/9035006622,EDP,50,"111,200.00","2,224.00",Saffron,Thyme,Raspberry,,,,Violet Leaf,Incense,Leather,,,,,Cedarwood,Cistus Labdanum,Vanilla,Musk,,,
Brishka,https://www.instagram.com/brishka.id/,5008,2022,Malibu Night,https://shopee.co.id/brishka.id/20641776819,EDP,100,"200,000.00","2,000.00",Bergamot,,,,,,Pepper,,,,,,,Vanilla,,,,,,
CARESO,https://www.instagram.com/careso.official/,35700,2019,Clean,https://shopee.co.id/valueperfume.id/20227248539,EDT,100,"169,000.00","1,690.00",Cotton,Rose,Peony,Violet,,,Sandalwood,Musk,,,,,,,,,,,,
Carl & Claire,https://www.instagram.com/carlandclaire/?hl=en,67500,2020,Black Dahlia,https://shopee.co.id/carlandclaire/6600856943,EDP,30,"274,000.00","9,133.33",White Floral,Gourmand,Coffee,,,,Vanilla,Floral,Woody,,,,,Ambery,Musky,Sweet,,,,
De.Claires,https://www.instagram.com/de.claires/?hl=en,541000,2018,Petite Pastry,https://shopee.co.id/de.claires/18404156074,EDP,55,"185,000.00","3,363.64",Vanilla,Cake,Coconut,Pineapple,Chamomile,,,,,,,,,,,,,,,
de LUNAR Perfumery,https://www.instagram.com/delunarofficial/,11600,2022,Obsess,https://shopee.co.id/delunarparfum/19427468028,EDP,50,"185,000.00","3,700.00",Melon,Magnolia,Peach,Mandarin Orange,Bergamot,,Jasmine,Lily of the Valley,Freesia,Rose,Orchid,Plum ,Violet,Musk,Vanilla,Cedarwood,,,,
Douceur Perfume,https://www.instagram.com/dcparfumeur/?hl=en,3462,2019,Avetis,https://shopee.co.id/dcparfumeur/11602517836,EDP,50,"125,000.00","2,500.00",Woody,Sweet,,,,,,,,,,,,,,,,,,
el'mntrx,https://www.instagram.com/elmntrx.official/,685,2021,De Fleurs,https://shopee.co.id/el.mntrx/6260782413,EDP,50,"185,000.00","3,700.00",Peach,Gardenia,,,,,Carnation,Arum Dalu,,,,,,Honey,Rosewood,,,,,
Exxome,https://www.instagram.com/exxome.id/,23000,2020,Orion,https://shopee.co.id/exxome.id/7659168089,EDP,50,"169,000.00","3,380.00",Mandarin Orange,Bergamot,Saffron,,,,Pepper,Cedar,Coriander,,,,,Sandalwood ,Vetiver,Honey,,,,
Faivers,https://www.instagram.com/faivers.id/,3319,2022,Bitter Honey,https://shopee.co.id/faiversindonesia/16368466463,EDP,50,"170,100.00","3,402.00",Honey,Bitter Orange,,,,,Tuberose,Cherry,Pear,,,,,,,,,,,
Fakhrul Oud,https://www.instagram.com/fakhruloud/,7381,2020,Signature 002,https://tokopedia.link/U7GQy2TKlvb,ExDP,50,"850,000.00","17,000.00",Nutmeg,Saffron,,,,,Jasmine,Rose,,,,,,Oud,Musk,Patchouli,Amber,,,
Fetch Fragrance,https://www.instagram.com/fetch.fragrances/,14300,2020,Slow Waltz,https://shopee.co.id/fetchfragrances/5377120891,EDP,30,"152,900.00","5,096.67",Jasmine,Saffron,,,,,Ambergris,Amberwood,,,,,,Resin,Fir,Cedar,,,,
Filosophia,https://www.instagram.com/filosophia.id/,2586,2021,Party Anthem,https://shopee.co.id/filosophia.perfumery/13945853545,EDP,50,"150,000.00","3,000.00",Passion,Fruit,Bergamot,,,,Cocktails,Mint,Pear,,,,,Lavender,Leather,,,,,
Fonce,https://www.instagram.com/fonce.indonesia/,17000,2022,Roses Vanille,https://shopee.co.id/fonce.id/6707848329,ExDP,50,"180,000.00","3,600.00",Sea Notes,Lemon,,,,,Rose,Creamy,,,,,,Vanilla,Sugar,White Musk,,,,
Fordive,https://www.instagram.com/fordive.id/,35200,2020,1970,https://shopee.co.id/fordive/15549575221,EDP,100,"279,000.00","2,790.00",Pink Pepper,Juniper,Violet,Grapefruit,,,Cinnamon,Sage,Vanilla,,,,,Amber,Tonka Bean,Coffee,Oak,,,
Getwet,https://www.instagram.com/getwet.id/,1019,2022,Epitome of Sunshine,https://shopee.co.id/getwet.id/16328156455,EDP,50,"249,000.00","4,980.00",Marigold,Mandarin,Blackcurrant,Orange Blossom,,,Jasmine Sambac,Ylang Ylang,Honey,Pear,Tuberose,,,Benzoin,Cedarwood,Vanilla,,,,
Hausser,https://www.instagram.com/hausserperfume/?hl=en,891,2022,Symphonie de Tabriz,https://tokopedia.link/KJbOqUaepxb,EDP,50,"975,000.00","19,500.00",Rum,Rosewood,Apple,Lavender,,,Eucalyptus,Cashmere Wood ,Lily of the Valley,Cinnamon,,,,Oud,Tonka Bean,Honey,Tob,Amber,Musk,
Histeory,https://www.instagram.com/histeory/,17300,2021,Chemistry,https://shopee.co.id/histeory.official/12939021770,EDP,50,"169,000.00","3,380.00",Rose,Vanilla,Bergamot,Spicy,,,Blackcurrant,Patchouli,Water Jasmine,,,,,Cedar,Leather,Sandalwood,Vanilla,White Musk,Musk,Sandalwood
HMNS,https://www.instagram.com/hmns.id/,306000,2019,Orgsm,https://shopee.co.id/houseofmedici/3045105353,EDP,100,"323,000.00","3,230.00",Red Apple,,,,,,Rose,Peony,Jasmine,,,,,Vanilla,Amber,,,,,
House of Dappers,https://www.instagram.com/houseofdappers.id/,11200,2013,Teh Melati,https://shopee.co.id/houseofdappers/19149063628,EDP,50,"235,000.00","4,700.00",Tea,Jasmine,Sugar,Tuberose,,,Musk,Sandalwood,,,,,,,,,,,,
House of Medici,https://www.instagram.com/medicihouseof/,13100,2020,Lilac Wine,https://shopee.co.id/houseofmedici/3045105353,EDP,50,"350,000.00","7,000.00",Wine,Saffron,Thyme,,,,Lilac,Blueberry,Mocha,,,,,Leather,Heliotrope,Mahogany,,,,
Joie the Lab,https://www.instagram.com/joiethelab/,1761,2022,Memoir,https://shopee.co.id/joiethelab/15362670940,EDP,50,"165,000.00","3,300.00",Calabrian Bergamot,Pepper,,,,,Sichuan Pepper,Lavender,Pink Pepper,Vetiver,Patchouli,Geranium,Elemi,Ambroxan,Cedar,Labdanum,,,,
Justin Paul,https://www.instagram.com/justinpaulparfum/,19900,2021,Navy,https://shopee.co.id/senswell/5659192141,EDP,50,"110,000.00","2,200.00",Earthy,Marine,,,,,Violet Leaf,Mandarin,,,,,,Sandalwood,Musky,,,,,
Kahf,https://www.instagram.com/kahfeveryday/,121000,2020,Revered Oud,https://shopee.co.id/kahfofficial/18166020072,EDP,100,"232,750.00","2,327.50",Fruity,Rose,Lemon,,,,Amber ,Gourmand,,,,,,Vanilla,Musky,Agarwood,,,,
Kitschy,https://www.instagram.com/kitschy.beauty/,64000,2021,Golden Hour,https://shopee.co.id/kitschybeauty/20843656442,EDP,50,"298,000.00","5,960.00",Honey,Jasmine Sambac,,,,,Marigold,,,,,,,Benzoin,Ylang Ylang,,,,,
Labcitane,https://www.instagram.com/labcitane/,68000,2020,Rose Peony,https://shopee.co.id/labcitane/5443920156,ExDP,50,"185,000.00","3,700.00",Mint,,,,,,Rose,Freesia,,,,,,Vanilla,Ambroxan,Wood,Patchouli,,,
Layr Fragrance,https://www.instagram.com/layrfragrance/,13200,2023,Second Skin,https://docs.google.com/forms/d/e/1FAIpQLSelQqt9whp04CBRpuvnDsSFlo7AJf4L8UirgGq1T2A-GMKa2A/viewform,ExDP,50,"249,000.00","4,980.00",Black Pepper,Bergamot,Clary Sage,Mandarin,Green,Tagete,Rose,Orange Flower,Violet,Lily of the Valley,Jasmine,Fruity,,Patchouli,Amber,Musk,Cedar,Lactone,Labdanum,Vanilla
Léuseni,https://instagram.com/leuseniofficial?igshid=YmMyMTA2M2Y=,728,2022,Patisserie,https://www.tokopedia.com/leuseniparfums/50ml-patisserie-eau-de-parfum-perfume-de-leuseni?extParam=whid%3D2921678,EDP,50,"995,000.00","19,900.00",Bergamot,Coriander,Pink Pepper,,,,Orange Blossom,Chocolate,Coffee,,,,,Almond,Sandalwood,Labdanum,Musk,Vanilla,Peru Balsam,
Maison d' Ophelia,https://www.instagram.com/maisondeophelia/,3399,2023,Hamlet,https://shopee.co.id/maisonde.ophelia/20671899614,EDP,50,"475,000.00","9,500.00",Mandarin Orange,Grapefruit,Salt,,,,Seaweed,Citrus,,,,,,Citrus,Salt,Amber,,,,
Maison SONO,https://www.instagram.com/maisonsono/?hl=en,2115,2022,Walking The Aisle,https://shopee.co.id/maisonsono/17668723027,EDP,35,"169,000.00","4,828.57",Water Jasmine,Ginger Flower,Green Mandarin,,,,Red Apple,Patchouli,Vanilla,Sandalwood,,,,Pear,Melon,Musk,Rose,Peony,,
Maison William Sicher,https://www.instagram.com/maisonwilliamsicher/,5012,,Sunrise Forest,https://shopee.co.id/williamsicher1988/17084666836,EDP,50,"53,800.00","1,076.00",Tangerine,Passion Fruity,,,,,Rose,,,,,,,Musk,,,,,,
Midl,https://instagram.com/midl_id?igshid=YmMyMTA2M2Y=,259,2023,Cloudnine,https://www.tokopedia.com/midl/midl-cloudnine-perfume-edp-parfum-unisex-30ml?extParam=ivf%3Dfalse,EDP,30,"125,000.00","4,166.67",Orange,Bergamot,Aromatic,Citrus,Spicy,`,Pear,Vanilla,Ambery,,,,,Musk,Dry Amber,Ambery,Woody,,,
Mine. Perfumery,https://www.instagram.com/mine.perfumery/,63400,2021,Ethereal,https://shopee.co.id/mine.perfumery/8320514334,EDP,50,"370,000.00","7,400.00",Vanillin,Almond,Hedione,,,,Bergamot,Baby's Breath,Pink Pepper,,,,,Sandalwood ,Cashmere,Orange,,,,
Minyeuk Pret,https://www.instagram.com/minyeukpret/,35100,2015,Seulanga,https://shopee.co.id/minyeukpret/1214023487,EDP,30,"125,000.00","4,166.67",Mandarin Orange,Ylang Ylang,Patchouli,,,,,,,,,,,,,,,,,
Mother of Perfumery,https://www.instagram.com/mop.beauty/,316000,2022,Savage Vanilla,https://shopee.co.id/mop.beauty/18749545990,EDP,45,"420,000.00","9,333.33",Bergamot,Rose,,,,,Iris,Cedarwood,,,,,,Vanilla,Musk,,,,,
Multitude Scents,https://www.instagram.com/multitude.scents/,188,2023,Kalut Kretek,https://tokopedia.link/zhKfIJGZ7xb,EDP,50,"350,000.00","7,000.00",Black Pepper,Mandarin,,,,,Fig,Clove,Tobacco,Chocolate,,,,Patchouli,Amber,,,,,
Mykonos,https://www.instagram.com/officialmykonos/,286000,2019,Vanilla Clouds,https://shopee.co.id/mykonosofficial/14014614942,EDP,50,"119,000.00","2,380.00",Coconut,Aloe Vera,Lily of the Valley,,,,Coconut Cream,Vanilla,Sweet Rice,,,,,Vanilla,Cashmere Wood,,,,,
Myth Fragrance,https://www.instagram.com/mythfragrance/,936,2022,Kitsu-Ne,https://shopee.co.id/mythfragrance/16874162002,EDP,50,"139,000.00","2,780.00",Green Tea,Rice,Orange,Mandarin,Saffron,,Jasmine,Rose,Freesia,Lily,Amberwood,,,Iris,Amber,Musk,Cedarwood,,,
NAMXL,https://www.instagram.com/namxlscent/,2255,2022,Summer Garden,https://shopee.co.id/namxl/14919258226,EDP,50,"139,300.00","2,786.00",Bergamot,Almond,Tuberose,,,,Jasmine Sambac,Indonesian Orange,White Rose,Cedar,,,,Tonka Bean,Vanilla,Sandalwood,Cashmere,Patchouli,,
Nevernot,https://www.instagram.com/nevernotofficial/,1866,2022,Petite Avenue,https://shopee.co.id/nevernotofficial/20304800508,EDP,35,"169,000.00","4,828.57",Earl Grey Tea,Mandarin Orange,,,,,Freesia,Rose,Jasmine,,,,,Iris,Musk,Sandalwood,,,,
Next Door Neighbor,https://www.instagram.com/nextdoorneighbor__/,1275,2022,Ms. Kana,https://shopee.co.id/nextdoorneighbor/18452840309,EDP,30,"139,000.00","4,633.33",Sour Cherry,Raspberry,Orange,,,,Vanilla,Gardenia,,,,,,Sandalwood,Musk,,,,,
Normal Estate,https://www.instagram.com/normalestate/,1913,2022,019,https://tokopedia.link/dwSFMfykfxb,EDP,50,"889,000.00","17,780.00",Woody,Citrus,Ambery,,,,,,,,,,,,,,,,,
Oaken Lab,https://www.instagram.com/oakenlab/,14900,2018,Earth of Mankind,https://shopee.co.id/oaken.lab/9114483632,EDP,50,"799,000.00","15,980.00",Agarwood,Patchouli,Vetiver,Cassia,Tobacco,Vanilla,,,,,,,,,,,,,,
Onix,https://www.instagram.com/onix.id/,124000,2019,FWB,https://shopee.co.id/product/190702037/4348098389,EDP,50,"189,000.00","3,780.00",Bergamot,Lemon,Orange,Apple,Green Tea,,Freesia,White Floral,Amber,Peach,Coconut,,,Amber,Vetiver,Musk,Vanilla,Cedarwood,Caramel,
OUDS,https://www.instagram.com/ouds.id/,6434,2020,PSYCH,https://shopee.co.id/ouds.id/7287844958,EDP,35,"150,000.00","4,285.71",Aldehyde,Bergamot,Lemon,Mint,,,Apple,Violet Leaf,Pineaple,,,,,Ambergris,Musk,Cedar,Agarwood,,,
Oullu,https://www.instagram.com/oullu.id/,18300,2020,Arcana,https://shopee.co.id/oullu/3316147789,EDP,50,"389,000.00","7,780.00",Licorice,Almond,,,,,Ground Pistachio,Rhubarb,,,,,,Ambergris,Vanilla,,,,,
Perfume Republic,https://www.instagram.com/perfumerepublic_id/,1888,2021,On Point,https://shopee.co.id/cnfperfumery/13845645920,EDT,100,"249,000.00","2,490.00",Pineapple,Bergamot,Pepper,,,,Cardamom,Apple,Pepper,,,,,Oakmoss,Cedarwood,Amber,,,,
Pive Perfumery,https://www.instagram.com/pive.co/,140,2022,Antheia,https://shopee.co.id/piveperfumery/18122446109,EDP,33,"125,000.00","3,787.88",Hyacinth,Bergamot,,,,,Rose,Jasmine,Peony,Gerranium,Rosemary,,,Sandalwood,Amber,Tonka Bean,Musk,,,
Project 1945,https://www.instagram.com/project1945.id/,7044,2021,Sunset in Sumba,https://shopee.co.id/project1945.id/13857878093,EDP,100,"275,000.00","2,750.00",Mandarin,Red Apple,Cardamom,Elemi,,,Lavender,Incense,Clove Indonesia,,,,,Patchouli Indonesia,Vanilla,,,,,
Readyset,https://www.instagram.com/readysetofficial/?hl=en,51000,2021,Windrises,https://shopee.co.id/readysetofficial/11870460938,EDP,35,"169,000.00","4,828.57",Aldehyde,Lily of the Valley,,,,,Iris,Neroli,Violet,,,,,Wood,Musk,,,,,
Rémoir Perfumery,https://www.instagram.com/remoir.id/,1896,2022,Hearts of New York ,https://shopee.co.id/remoir.official/22813625979,EDP,35,"159,000.00","4,542.86",Pistachio New York,,,,,,Moss Rose,Peach,White Floral,,,,,Vanilla,Amber,Musk,,,,
Rumah Atsiri,https://www.instagram.com/rumahatsiri?igshid=NDk5N2NlZjQ=,82500,2018,1941,https://shopee.co.id/rumahatsiriindonesia/22222387033,EDP,10,"95,000.00","9,500.00",Bergamot,Cinnamon,,,,,Jasmine,Cocoa,Clove,,,,,Patchouli,Vanilla Cream,Coffee,Amber,,,
S.TOI Fragrances,https://www.instagram.com/stoiaroma/,830,2023,Indigo,https://tokopedia.link/Yo9qMfn07xb,EDP,50,"239,000.00","4,780.00",Calabrian Bergamot,Grapefruit,Hazelnut,,,,Cedarwood,Honey,Spice,,,,,Amber,Oakmoss,Woody,,,,
SAFF & Co.,https://www.instagram.com/saffnco/,54400,2020,S.O.T.B,https://shopee.co.id/saffnco/20634545364,ExDP,30,"229,000.00","7,633.33",Mandarin,Galbanum,Ylang Ylang,,,,Tuberose,Jasmine,Orange Flower,,,,,Vanilla,Tonka Bean,Musk,,,,
Saint Hars,https://www.instagram.com/sainthars.official/?hl=en,7216,2020,St. Moritz,https://shopee.co.id/sainthars/17790910103,ExDP,30,"249,000.00","8,300.00",Bergamot,,,,,,Lily of the Valley,Jasmine,,,,,,Vanilla,Amber,Musk,Vetiver,,,
Samaya Perfume,https://www.instagram.com/samayaperfume.id/,27200,2020,Wairi Hill,https://shopee.co.id/samayaperfumeid/7293350893,EDP,35,"189,000.00","5,400.00",Apricot,Peach,Green Tea,,,,Green Notes,Lily of the Valley,Rose,Jasmine,,,,Musk,Sandalwood,,,,,
Sansoe,https://www.instagram.com/sansoe.fragrances/?hl=en,10500,2020,Lignum,https://shopee.co.id/sansoe.fragrances/9554749066,EDP,50,"389,000.00","7,780.00",Wood,Musk,Ambergris,Pear,,,,,,,,,,,,,,,,
Scentderland Perfumery,https://www.instagram.com/scentderland/,1731,2022,Lady Lamington,https://shopee.co.id/scentderland/19552936265,EDP,50,"159,900.00","3,198.00",Coconut,Galbanum,Cilantro,Mandarin Orange,,,Iris,Rose,Geranium,,,,,Tonka Bean,Vanilla,Amberwood,,,,
